"","@ in URLs","Attachments","BanWords","Css","External Resources","Flash content","HTML content","Html Form","Html iFrame","IPs in URLs","Javascript","Phishy","URLs"
"110","False","0","468","0","0","False","True","False","False","True","0","True","6"
"111","False","0","682","0","0","False","True","False","False","True","0","True","2"
"112","False","0","673","0","0","False","True","False","False","True","0","True","1"
"113","False","0","893","0","0","False","True","False","False","True","0","True","17"
"114","False","0","628","0","0","False","True","False","False","False","0","True","14"
"115","False","0","674","0","0","False","True","False","False","False","0","True","5"
"116","False","0","329","0","0","False","True","False","False","False","0","True","4"
"117","False","0","655","0","0","False","True","True","False","False","0","True","29"
"118","False","0","590","0","0","False","True","False","False","True","0","True","24"
"119","False","0","366","0","0","False","True","False","False","False","0","True","7"
"120","False","0","834","0","0","False","True","False","False","True","0","True","22"
"121","False","0","750","0","0","False","True","False","False","False","0","True","11"
"122","False","0","290","0","0","False","True","False","False","True","0","True","2"
"123","False","0","1580","0","0","False","True","True","False","False","0","True","70"
"124","False","0","674","0","0","False","True","False","False","False","0","True","5"
"125","False","0","897","0","0","False","True","False","False","False","0","True","17"
"126","False","0","433","0","0","False","True","False","False","True","0","True","7"
"127","False","0","628","0","0","False","True","False","False","False","0","True","14"
"128","False","0","359","0","0","False","True","False","False","True","0","True","4"
"129","False","0","471","0","0","False","True","False","False","True","0","True","4"
"130","False","0","381","0","0","False","True","True","False","False","0","True","6"
"131","False","0","939","0","0","False","True","False","False","False","0","True","9"
"132","False","0","595","0","0","False","True","False","False","True","0","True","3"
"133","False","0","587","0","0","False","","True","False","True","0","True","5"
"134","False","0","658","0","0","False","True","False","False","False","0","True","22"
"135","False","0","606","0","0","False","True","False","False","False","0","True","24"
"136","False","0","536","0","0","False","True","False","False","True","0","True","2"
"137","False","0","615","0","0","False","True","False","False","True","0","True","6"
"138","False","0","650","0","0","False","True","False","False","False","0","True","15"
"139","False","0","1101","0","0","False","True","False","False","False","0","True","27"
"140","False","0","319","0","0","False","True","False","False","False","0","True","1"
"141","False","0","1383","0","0","False","True","True","False","False","0","True","58"
"142","False","0","565","0","0","False","True","False","False","True","0","True","13"
"143","False","0","473","0","0","False","True","False","False","True","0","True","5"
"144","False","0","503","0","0","False","True","False","False","True","0","True","3"
"145","False","0","645","0","0","False","True","False","False","False","0","True","23"
"146","False","0","472","0","0","False","True","False","False","True","0","True","4"
"147","False","0","765","0","0","False","True","False","False","True","0","True","16"
"148","False","0","674","0","0","False","True","False","False","False","0","True","5"
"149","False","0","1036","0","0","False","True","False","False","True","0","True","16"
"150","False","0","712","0","0","False","True","False","False","False","0","True","8"
"151","False","0","570","0","0","False","True","True","False","True","0","True","6"
"152","False","0","644","0","0","False","True","False","False","False","0","True","14"
"153","False","0","711","0","0","False","True","True","False","True","0","True","34"
"154","False","0","1159","0","0","False","True","False","False","True","0","True","3"
"155","False","0","644","0","0","False","True","False","False","False","0","True","23"
"156","False","0","939","0","0","False","True","False","False","True","0","True","14"
"157","False","0","433","0","0","False","True","False","False","False","0","True","2"
"158","False","0","277","0","0","False","True","False","False","False","0","True","2"
"159","False","0","526","0","0","False","True","False","False","True","0","True","3"
"160","False","0","637","0","0","False","True","False","False","True","0","True","11"
"161","False","0","635","0","0","False","True","False","False","False","0","True","7"
"162","False","0","1350","0","0","False","True","False","False","True","0","True","25"
"163","False","0","1135","0","0","False","True","False","False","False","0","True","16"
"164","False","0","800","0","0","False","True","True","False","True","0","True","5"
"165","False","0","578","0","0","False","","True","False","True","0","True","5"
"166","False","0","381","0","0","False","True","False","False","True","0","True","4"
"167","False","0","886","0","0","False","True","False","False","True","0","True","12"
"168","False","0","571","0","0","False","True","False","False","False","0","True","3"
"169","False","0","753","0","0","False","True","False","False","True","0","True","5"
"170","False","0","687","0","0","False","True","False","False","False","0","True","5"
"171","False","0","627","0","0","False","True","False","False","False","0","True","13"
"172","False","0","579","0","0","False","True","True","False","True","0","True","6"
"173","False","0","532","0","0","False","True","False","False","False","0","True","3"
"174","False","0","574","0","0","False","True","True","False","True","0","True","6"
"175","False","0","374","0","0","False","True","False","False","True","0","True","3"
"176","False","0","426","0","0","False","True","False","False","False","0","True","3"
"177","False","0","437","0","0","False","True","False","False","False","0","True","12"
"178","False","0","435","0","0","False","True","False","False","True","0","True","3"
"179","False","0","856","0","0","False","True","False","False","False","0","True","16"
"180","False","0","783","0","0","False","True","False","False","True","0","True","9"
"181","False","0","460","0","0","False","True","False","False","True","0","True","5"
"182","False","0","644","0","0","False","True","False","False","True","0","True","8"
"183","False","0","585","0","0","False","True","False","False","False","0","True","6"
"184","False","0","182","0","0","False","True","False","False","False","0","True","2"
"185","False","0","479","0","0","False","True","False","False","True","0","True","4"
"186","False","0","739","0","0","False","True","False","False","True","0","True","1"
"187","False","0","318","0","0","False","True","False","False","True","0","True","3"
"188","False","0","539","0","0","False","True","False","False","True","0","True","2"
"189","False","0","889","0","0","False","True","False","False","True","0","True","11"
"190","False","0","796","0","0","False","True","False","False","False","0","True","13"
"191","False","0","674","0","0","False","True","False","False","False","0","True","5"
"192","False","0","430","0","0","False","True","False","False","True","0","True","6"
"193","False","0","721","0","0","False","True","False","False","True","0","True","1"
"194","False","0","939","0","0","False","True","False","False","True","0","True","16"
"195","False","0","615","0","0","False","True","False","False","False","0","True","7"
"196","False","0","505","0","0","False","True","False","False","True","0","True","3"
"197","False","0","1105","0","0","False","True","False","False","False","0","True","27"
"198","False","0","1242","0","0","False","True","True","False","False","0","True","62"
"199","False","0","257","0","0","False","True","False","False","True","0","True","3"
"200","False","0","542","0","0","False","True","False","False","True","0","True","13"
"201","False","0","637","0","0","False","True","False","False","True","0","True","11"
"202","False","0","670","0","0","False","True","False","False","True","0","True","2"
"203","False","0","391","0","0","False","True","False","False","True","0","True","4"
"204","False","0","336","0","0","False","True","False","False","False","0","True","2"
"205","False","0","397","0","0","False","True","False","False","False","0","True","3"
"206","False","0","743","0","0","False","True","False","False","True","0","True","13"
"207","False","0","528","0","0","False","True","False","False","True","0","True","5"
"208","False","0","632","0","0","False","True","False","False","False","0","True","14"
"209","False","0","363","0","0","False","True","False","False","True","0","True","1"
"210","False","0","776","0","0","False","True","False","False","False","0","True","11"
"211","False","0","436","0","0","False","True","False","False","True","0","True","5"
"212","False","0","533","0","0","False","True","False","False","False","0","True","4"
"213","False","0","503","0","0","False","True","False","False","True","0","True","3"
"214","False","0","1161","0","0","False","True","False","False","False","0","True","27"
"215","False","0","612","0","0","False","True","False","False","False","0","True","7"
"216","False","0","635","0","0","False","True","False","False","False","0","True","7"
"217","False","0","452","0","0","False","True","False","False","True","0","True","9"
"218","False","0","853","0","0","False","True","False","False","True","0","True","24"
"219","False","0","359","0","0","False","True","False","False","True","0","True","4"
"220","False","0","807","0","0","False","True","False","False","True","0","True","9"
"221","False","0","674","0","0","False","True","False","False","False","0","True","5"
"222","False","0","668","0","0","False","True","False","False","False","0","True","2"
"223","False","0","733","0","0","False","True","True","False","True","0","True","34"
"224","False","0","718","0","0","False","True","True","False","True","0","True","34"
"225","False","0","624","0","0","False","True","False","False","False","0","True","14"
"226","False","0","558","0","0","False","","True","False","True","0","True","5"
"227","False","0","584","0","0","False","True","False","False","True","0","True","4"
"228","False","0","559","0","0","False","","True","False","True","0","True","5"
"229","False","0","460","0","0","False","True","False","False","False","0","True","14"
"230","False","0","517","0","0","False","True","False","False","False","0","True","4"
"231","False","0","601","0","0","False","True","False","False","False","0","True","8"
"232","False","0","754","0","0","False","True","False","False","False","0","True","5"
"233","False","0","582","0","0","False","True","False","False","True","0","True","6"
"234","False","0","537","0","0","False","True","False","False","True","0","True","2"
"235","False","0","731","0","0","False","True","False","False","True","0","True","12"
"236","False","0","378","0","0","False","True","False","False","False","0","True","4"
"237","False","0","680","0","0","False","True","False","False","True","0","True","3"
"238","False","0","1190","0","0","False","True","False","False","True","0","True","6"
"239","False","0","1473","0","0","False","True","False","False","False","0","True","24"
"240","False","0","364","0","0","False","True","False","False","True","0","True","5"
"241","False","0","722","0","0","False","True","False","False","True","0","True","12"
"242","False","0","410","0","0","False","True","False","False","False","0","True","2"
"243","False","0","619","0","0","False","True","False","False","True","0","True","7"
"244","False","0","460","0","0","False","True","False","False","True","0","True","4"
"245","False","0","468","0","0","False","True","False","False","True","0","True","6"
"246","False","0","627","0","0","False","True","False","False","False","0","True","14"
"247","False","0","939","0","0","False","True","False","False","True","0","True","14"
"248","False","0","695","0","0","False","True","False","False","False","0","True","15"
"249","False","0","734","0","0","False","True","False","False","False","0","True","4"
"250","False","0","462","0","0","False","True","False","False","True","0","True","2"
"251","False","0","509","0","0","False","True","False","False","True","0","True","3"
"252","False","0","732","0","0","False","True","False","False","False","0","True","14"
"253","False","0","674","0","0","False","True","False","False","False","0","True","5"
"254","False","0","471","0","0","False","True","False","False","True","0","True","5"
"255","False","0","842","0","0","False","True","False","False","True","0","True","15"
"256","False","0","888","0","0","False","True","False","False","True","0","True","16"
"257","False","0","1072","0","0","False","True","False","False","True","0","True","15"
"258","False","0","667","0","0","False","True","False","False","False","0","True","9"
"259","False","0","464","0","0","False","True","False","False","True","0","True","2"
"260","False","0","696","0","0","False","True","False","False","True","0","True","4"
"261","False","0","753","0","0","False","True","False","False","False","0","True","20"
"262","False","0","363","0","0","False","True","False","False","False","0","True","7"
"263","False","0","674","0","0","False","True","False","False","False","0","True","5"
"264","False","0","705","0","0","False","True","False","False","True","0","True","10"
"265","False","0","553","0","0","False","True","False","False","True","0","True","3"
"266","False","0","439","0","0","False","True","False","False","True","0","True","2"
"267","False","0","747","0","0","False","True","False","False","True","0","True","1"
"268","False","0","422","0","0","False","True","False","False","False","0","True","3"
"269","False","0","1096","0","0","False","True","False","False","True","0","True","31"
"270","False","0","801","0","0","False","True","False","False","False","0","True","10"
"271","False","0","493","0","0","False","True","False","False","False","0","True","3"
"272","False","0","589","0","0","False","True","False","False","True","0","True","5"
"273","False","0","648","0","0","False","True","False","False","True","0","True","1"
"274","False","0","481","0","0","False","True","False","False","True","0","True","5"
"275","False","0","466","0","0","False","True","False","False","True","0","True","4"
"276","False","0","772","0","0","False","True","False","False","True","0","True","13"
"277","False","0","308","0","0","False","True","False","False","True","0","True","3"
"278","False","0","411","0","0","False","True","False","False","False","0","True","2"
"279","False","0","1015","0","0","False","True","False","False","True","0","True","12"
"280","False","0","816","0","0","False","True","False","False","False","0","True","24"
"281","False","0","1101","0","0","False","True","False","False","False","0","True","27"
"282","False","0","542","0","0","False","True","False","False","True","0","True","13"
"283","False","0","674","0","0","False","True","False","False","False","0","True","5"
"284","False","0","801","0","0","False","True","False","False","True","0","True","14"
"285","False","0","939","0","0","False","True","False","False","True","0","True","14"
"286","False","0","317","0","0","False","True","False","False","True","0","True","4"
"287","False","0","715","0","0","False","True","True","False","True","0","True","34"
"288","False","0","572","0","0","False","True","False","False","True","0","True","4"
"289","False","0","681","0","0","False","True","False","False","True","0","True","1"
"290","False","0","1292","0","0","False","True","False","False","True","0","True","26"
"291","False","0","1106","0","0","False","True","False","False","False","0","True","27"
"292","False","0","435","0","0","False","True","False","False","True","0","True","3"
"293","False","0","332","0","0","False","True","False","False","False","0","True","4"
"294","False","0","663","0","0","False","True","False","False","True","0","True","1"
"295","False","0","442","0","0","False","True","False","False","False","0","True","3"
"296","False","0","867","0","0","False","True","False","False","False","0","True","16"
"297","False","0","344","0","0","False","True","False","False","True","0","True","4"
"298","False","0","522","0","0","False","True","False","True","False","0","True","3"
"299","False","0","380","0","0","False","True","False","False","True","0","True","1"
"300","False","0","612","0","0","False","True","False","False","False","0","True","7"
"301","False","0","511","0","0","False","True","False","False","True","0","True","5"
"302","False","0","659","0","0","False","True","False","False","False","0","True","23"
"303","False","0","541","0","0","False","True","False","False","True","0","True","14"
"304","False","0","1750","0","0","False","True","True","False","True","0","True","23"
"305","False","0","503","0","0","False","True","False","False","True","0","True","3"
"306","False","0","372","0","0","False","True","False","False","True","0","True","4"
"307","False","0","686","0","0","False","True","False","False","True","0","True","2"
"308","False","0","401","0","0","False","True","False","False","True","0","True","7"
"309","False","0","505","0","0","False","True","False","False","True","0","True","3"
"310","False","0","627","0","0","False","True","False","False","False","0","True","14"
"311","False","0","471","0","0","False","True","False","False","True","0","True","7"
"312","False","0","619","0","0","False","True","False","False","True","0","True","5"
"313","False","0","647","0","0","False","True","False","False","False","0","True","14"
"314","False","0","1350","0","0","False","True","False","False","True","0","True","25"
"315","False","0","668","0","0","False","True","False","False","False","0","True","7"
"316","False","0","560","0","0","False","","True","False","True","0","True","5"
"317","False","0","495","0","0","False","True","False","False","True","0","True","3"
"318","False","0","357","0","0","False","True","False","False","True","0","True","2"
"319","False","0","319","0","0","False","True","False","False","False","0","True","1"
"320","False","0","700","0","0","False","True","False","False","True","0","True","2"
"321","False","0","699","0","0","False","True","False","False","True","0","True","2"
"322","False","0","415","0","0","False","True","False","False","True","0","True","4"
"323","False","0","729","0","0","False","True","False","False","True","0","True","1"
"324","False","0","441","0","0","False","True","False","False","True","0","True","6"
"325","False","0","469","0","0","False","True","False","False","False","0","True","2"
"326","False","0","626","0","0","False","True","False","False","False","0","True","14"
"327","False","0","393","0","0","False","True","False","False","True","0","True","2"
"328","False","0","385","0","0","False","True","False","False","False","0","True","2"
"329","False","0","490","0","0","False","True","False","False","False","0","True","24"
"330","False","0","693","0","0","False","True","False","False","True","0","True","11"
"331","False","0","561","0","0","False","","True","False","True","0","True","5"
"332","False","0","571","0","0","False","True","False","False","False","0","True","3"
"333","False","0","273","0","0","False","True","False","False","False","0","True","2"
"334","False","0","501","0","0","False","True","False","False","True","0","True","3"
"335","False","0","968","0","0","False","True","False","False","True","0","True","15"
"336","False","0","1165","0","0","False","True","False","False","False","0","True","27"
"337","False","0","319","0","0","False","True","False","False","False","0","True","1"
"338","False","0","715","0","0","False","True","False","False","False","0","True","5"
"339","False","0","922","0","0","False","True","False","False","True","0","True","18"
"340","False","0","674","0","0","False","True","False","False","False","0","True","5"
"341","False","0","3013","0","0","False","True","False","False","False","0","True","10"
"342","False","0","326","0","0","False","True","False","False","False","0","True","1"
"343","False","0","500","0","0","False","True","False","False","True","0","True","2"
"344","False","0","758","0","0","False","True","False","False","False","0","True","20"
"345","False","0","674","0","0","False","True","False","False","False","0","True","5"
"346","False","0","492","0","0","False","True","False","False","False","0","True","3"
"347","False","0","612","0","0","False","True","False","False","True","0","True","5"
"348","False","0","687","0","0","False","True","False","False","False","0","True","5"
"349","False","0","718","0","0","False","True","True","False","True","0","True","34"
"350","False","0","551","0","0","False","True","False","False","True","0","True","5"
"351","False","0","834","0","0","False","True","False","False","True","0","True","22"
"352","False","0","1227","0","0","False","True","True","False","False","0","True","54"
"353","False","0","1140","0","0","False","True","False","False","False","0","True","27"
"354","False","0","593","0","0","False","True","False","False","False","0","True","23"
"355","False","0","491","0","0","False","True","False","False","True","0","True","3"
"356","False","0","924","0","0","False","True","False","False","True","0","True","14"
"357","False","0","846","0","0","False","True","False","False","True","0","True","6"
"358","False","0","1277","0","0","False","True","False","False","False","0","True","8"
"359","False","0","364","0","0","False","True","False","False","True","0","True","5"
"360","False","0","1263","0","0","False","True","False","False","True","0","True","47"
"361","False","0","582","0","0","False","True","False","False","False","0","True","16"
"362","False","0","1155","0","0","False","True","False","False","False","0","True","27"
"363","False","0","564","0","0","False","True","False","False","True","0","True","13"
"364","False","0","562","0","0","False","True","False","False","False","0","True","1"
"365","False","0","501","0","0","False","True","False","False","True","0","True","6"
"366","False","0","437","0","0","False","True","False","False","False","0","True","3"
"367","False","0","537","0","0","False","True","False","False","False","0","True","5"
"368","False","0","675","0","0","False","True","False","False","False","0","True","4"
"369","False","0","556","0","0","False","True","False","False","True","0","True","12"
"370","False","0","674","0","0","False","True","False","False","False","0","True","5"
"371","False","0","832","0","0","False","True","False","False","True","0","True","22"
"372","False","0","571","0","0","False","True","False","False","True","0","True","3"
"373","False","0","366","0","0","False","True","True","False","True","0","True","6"
"374","False","0","939","0","0","False","True","False","False","True","0","True","16"
"375","False","0","1168","0","0","False","True","False","False","True","0","True","6"
"376","False","0","774","0","0","False","True","False","False","True","0","True","14"
"377","False","0","544","0","0","False","True","False","False","True","0","True","6"
"378","False","0","516","0","0","False","True","False","False","True","0","True","2"
"379","False","0","864","0","0","False","True","False","False","True","0","True","11"
"380","False","0","714","0","0","False","True","False","False","True","0","True","2"
"381","False","0","884","0","0","False","True","False","False","False","0","True","13"
"382","False","0","568","0","0","False","True","False","False","False","0","True","4"
"383","False","0","1001","0","0","False","True","False","False","True","0","True","16"
"384","False","0","559","0","0","False","True","False","False","True","0","True","14"
"385","False","0","592","0","0","False","True","False","False","True","0","True","39"
"386","False","0","620","0","0","False","True","False","False","True","0","True","6"
"387","False","0","626","0","0","False","True","False","False","False","0","True","14"
"388","False","0","1245","0","0","False","True","True","False","False","0","True","62"
"389","False","0","666","0","0","False","True","False","False","True","0","True","5"
"390","False","0","1129","0","0","False","True","False","False","True","0","True","15"
"391","False","0","473","0","0","False","True","False","False","True","0","True","4"
"392","False","0","379","0","0","False","True","False","False","True","0","True","2"
"393","False","0","601","0","0","False","True","False","False","True","0","True","6"
"394","False","0","1282","0","0","False","True","False","False","False","0","True","46"
"395","False","0","300","0","0","False","True","False","False","True","0","True","2"
"396","False","0","179","0","0","False","True","False","False","False","0","True","2"
"397","False","0","499","0","0","False","True","False","False","True","0","True","6"
"398","False","0","501","0","0","False","True","False","False","True","0","True","3"
"399","False","0","1450","0","0","False","True","False","False","False","0","True","59"
"400","False","0","562","0","0","False","True","False","False","True","0","True","4"
"401","False","0","660","0","0","False","True","False","False","True","0","True","1"
"402","False","0","494","0","0","False","True","False","False","True","0","True","3"
"403","False","0","608","0","0","False","True","False","False","True","0","True","8"
"404","False","0","598","0","0","False","True","False","False","True","0","True","7"
"405","False","0","273","0","0","False","True","False","False","False","0","True","2"
"406","False","0","730","0","0","False","True","False","False","True","0","True","6"
"407","False","0","623","0","0","False","True","False","False","True","0","True","13"
"408","False","0","499","0","0","False","True","False","False","True","0","True","2"
"409","False","0","331","0","0","False","True","True","False","False","0","True","5"
"410","False","0","813","0","0","False","True","False","False","False","0","True","4"
"411","False","0","603","0","0","False","True","False","False","True","0","True","2"
"412","False","0","1134","0","0","False","True","False","False","False","0","True","27"
"413","False","0","858","0","0","False","True","False","False","True","0","True","14"
"414","False","0","1168","0","0","False","True","False","False","True","0","True","6"
"415","False","0","549","0","0","False","True","False","False","False","0","True","8"
"416","False","0","526","0","0","False","True","False","False","False","0","True","9"
"417","False","0","717","0","0","False","True","False","False","True","0","True","1"
"418","False","0","417","0","0","False","True","False","False","False","0","True","3"
"419","False","0","835","0","0","False","True","False","False","True","0","True","22"
"420","False","0","510","0","0","False","True","False","False","True","0","True","4"
"421","False","0","623","0","0","False","True","False","False","True","0","True","4"
"422","False","0","499","0","0","False","True","False","False","True","0","True","6"
"423","False","0","317","0","0","False","True","False","False","True","0","True","3"
"424","False","0","735","0","0","False","True","False","False","True","0","True","1"
"425","False","0","427","0","0","False","True","False","False","True","0","True","4"
"426","False","0","323","0","0","False","True","False","False","False","0","True","1"
"427","False","0","320","0","0","False","True","False","False","True","0","True","5"
"428","False","0","991","0","0","False","True","False","False","True","0","True","7"
"429","False","0","1418","0","0","False","True","True","False","False","0","True","92"
"430","False","0","1177","0","0","False","True","False","False","True","0","True","6"
"431","False","0","509","0","0","False","True","False","False","True","0","True","3"
"432","False","0","515","0","0","False","True","False","False","False","0","True","5"
"433","False","0","299","0","0","False","True","False","False","True","0","True","2"
"434","False","0","1000","0","0","False","True","False","False","True","0","True","14"
"435","False","0","590","0","0","False","True","False","False","True","0","True","9"
"436","False","0","931","0","0","False","True","False","False","True","0","True","17"
"437","False","0","423","0","0","False","True","False","False","True","0","True","3"
"438","False","0","632","0","0","False","True","False","False","True","0","True","3"
"439","False","0","457","0","0","False","True","False","False","True","0","True","5"
"440","False","0","358","0","0","False","True","False","False","True","0","True","4"
"441","False","0","414","0","0","False","True","False","False","False","0","True","2"
"442","False","0","551","0","0","False","True","False","False","False","0","True","13"
"443","False","0","425","0","0","False","True","False","False","True","0","True","10"
"444","False","0","599","0","0","False","True","False","False","False","0","True","11"
"445","False","0","668","0","0","False","True","False","False","False","0","True","21"
"446","False","0","625","0","0","False","True","True","False","True","0","True","6"
"447","False","0","548","0","0","False","True","False","False","False","0","True","13"
"448","False","0","363","0","0","False","True","False","False","False","0","True","7"
"449","False","0","942","0","0","False","True","False","False","False","0","True","0"
"450","False","0","991","0","0","False","True","False","False","True","0","True","14"
"451","False","0","263","0","0","False","True","False","False","False","0","True","5"
"452","False","0","521","0","0","False","True","False","False","True","0","True","6"
"453","False","0","126","0","0","False","True","False","False","False","0","True","0"
"454","False","0","581","0","0","False","True","False","False","False","0","True","9"
"455","False","0","710","0","0","False","True","False","False","False","0","True","39"
"456","False","0","786","0","0","False","True","False","False","False","0","True","0"
"457","False","0","280","0","0","False","True","False","False","False","0","True","2"
"458","False","0","1040","0","0","False","True","False","False","True","0","True","22"
"459","False","0","549","0","0","False","True","False","False","False","0","True","13"
